idContrato,codigo_contratacion,estado,objeto_contratacion,entidad,ruc_entidad,departamento,provincia,distrito,fecha_publicacion,fecha_vencimiento,tiempo_restante_texto,moneda,monto_referencial,descripcion,enlace_publico,enlace_requerimiento,requerimiento_consultado,fecha_ultima_actualizacion,fecha_vencimiento_raw
95372,CM-886-2026-HRC-UL-ADQ,Vigente,Servicio,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T17:03:28-05:00,2026-09-18T12:00:00-05:00,17 h restantes,,,CONTRATACION DEL SERVICIO DE MEDICO ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA (EXP. 18561),https://prod6.seace.gob.pe/buscador-publico/contrataciones/95372,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378718,1,2026-09-17T18:32:47-05:00,18/09/2026 12:00:00
95368,CM-885-2026-HRC-UL-ADQ,Vigente,Servicio,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T17:01:01-05:00,2026-09-18T12:00:00-05:00,17 h restantes,,,CONTRATACION DEL SERVICIO DE MEDICO ESPECIALISTA EN GINECOLOGIA Y OBSTETRICIA (EXP. 17294),https://prod6.seace.gob.pe/buscador-publico/contrataciones/95368,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378691,1,2026-09-17T18:32:47-05:00,18/09/2026 12:00:00
95365,CM-884-2026-HRC-UL-ADQ,Vigente,Servicio,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T16:57:50-05:00,2026-09-18T12:00:00-05:00,17 h restantes,,,SERVICIO ESPECIALIZADO EN RADIONCOLOGIA (Exp. 18799),https://prod6.seace.gob.pe/buscador-publico/contrataciones/95365,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378703,1,2026-09-17T18:32:47-05:00,18/09/2026 12:00:00
95363,CM-883-2026-HRC-UL-ADQ,Vigente,Servicio,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T16:55:23-05:00,2026-09-18T12:00:00-05:00,17 h restantes,,,CONTRATACION DEL SERVICIO DE MEDICO ESPECIALISTA EN MEDICINA INTERNA Y/O EMERGENCIA Y DESASTRES (75 HORAS) (EXP. 19440),https://prod6.seace.gob.pe/buscador-publico/contrataciones/95363,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378683,1,2026-09-17T18:32:47-05:00,18/09/2026 12:00:00
95385,CM-882-2026-HRC-UL-ADQ,Vigente,Servicio,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T16:51:25-05:00,2026-09-18T12:00:00-05:00,17 h restantes,,,CONTRATACION DE PROFESIONAL DE MEDICO FAMILIAR (EXP. 19440),https://prod6.seace.gob.pe/buscador-publico/contrataciones/95385,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378656,1,2026-09-17T18:32:47-05:00,18/09/2026 12:00:00
95380,CM-960-2026-HRGDV-A,Vigente,Bien,GOBIERNO REGIONAL DE APURIMAC - HOSPITAL GUILLERMO DIAZ DE LA VEGA ABANCAY,,APURIMAC,ABANCAY,ABANCAY,2026-09-17T16:47:37-05:00,2026-09-23T09:00:00-05:00,"5 d, 14 h restantes",,,REQUERIMIENTO DE DISPOSITIVO MEDICO  PARA EL DEPARTAMENTO DE ANESTESIOLOGIA DEL HRGDV. COT 742,https://prod6.seace.gob.pe/buscador-publico/contrataciones/95380,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378644,1,2026-09-17T18:32:47-05:00,23/09/2026 09:00:00
95360,CM-881-2026-HRC-UL-ADQ,Vigente,Servicio,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T16:47:23-05:00,2026-09-18T12:00:00-05:00,17 h restantes,,,CONTRATACION DEL SERVICIO DE MEDICO ESPECIALISTA EN MEDICINA INTERNA Y/O EMERGENCIAS Y DESASTRES (150 HORAS),https://prod6.seace.gob.pe/buscador-publico/contrataciones/95360,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378665,1,2026-09-17T18:32:47-05:00,18/09/2026 12:00:00
95353,CM-963-2026-HRGDV-A,Vigente,Bien,GOBIERNO REGIONAL DE APURIMAC - HOSPITAL GUILLERMO DIAZ DE LA VEGA ABANCAY,,APURIMAC,ABANCAY,ABANCAY,2026-09-17T16:35:27-05:00,2026-09-23T09:00:00-05:00,"5 d, 14 h restantes",,,"REQUERIMIENTO DE INSUMOS PARA EL DEPARTAMENTO DE ANESTESIOLOGIA DEL HRGDV, COT-743",https://prod6.seace.gob.pe/buscador-publico/contrataciones/95353,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378604,1,2026-09-17T18:32:47-05:00,23/09/2026 09:00:00
95335,CM-880-2026-HRC-UL-ADQ,Vigente,Servicio,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T16:31:35-05:00,2026-09-18T12:00:00-05:00,17 h restantes,,,CONTRATACION DE MEDICOS INTENSIVISTAS PARA LA UNIDAD DE CUIDADOS INTENSIVOS (EXP. 19166),https://prod6.seace.gob.pe/buscador-publico/contrataciones/95335,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378612,1,2026-09-17T18:32:47-05:00,18/09/2026 12:00:00
95354,CM-879-2026-HRC-UL-ADQ,Vigente,Servicio,GOBIERNO REGIONAL DE CUSCO - HOSPITAL REGIONAL CUSCO,,CUSCO,CUSCO,CUSCO,2026-09-17T16:27:29-05:00,2026-09-18T12:00:00-05:00,17 h restantes,,,CONTRATACION DEL SERVICIO DE MEDICO ESPECIALISTA EN DERMATOLOGIA (EXP. 18370),https://prod6.seace.gob.pe/buscador-publico/contrataciones/95354,https://prod6.seace.gob.pe/v1/s8uit-services/archivo/archivos-publico/descargar-archivo-contrato/378610,1,2026-09-17T18:32:47-05:00,18/09/2026 12:00:00
